# linkID, startTime, endTime, leakDiameter (m), leakType, peakTime
p257, 2019-01-01 00:05
p427, 2019-01-01 00:05
p810, 2019-01-01 00:05
p654, 2019-01-01 00:05
p523, 2019-01-15 23:00
p827, 2019-01-24 18:30
p280, 2019-02-10 13:05
p653, 2019-03-03 13:10
p710, 2019-03-24 14:15
p514, 2019-04-02 20:40
p331, 2019-04-20 10:10
p193, 2019-05-19 10:40
p277, 2019-05-30 21:55
p142, 2019-06-12 19:55
p680, 2019-07-10 08:45
p586, 2019-07-26 14:40
p721, 2019-08-02 03:00
p800, 2019-08-16 14:00
p123, 2019-09-13 20:05
p455, 2019-10-03 14:00
p762, 2019-10-09 10:15
p426, 2019-10-25 13:25
p879, 2019-11-20 11:55
